,query
52,what is the movie directed by quentin tarantino about a jewelry heist that goes wrong
53,i m thinking of the epic movie based on the book by j r r tolkien featuring hobbits wizards elves and a dark magic
54,a suspense horror film which has a mind blowing character who is portrait as mentally ill
55,this movie s retelling of the classic fairytale does n t have the princess falling in love with the prince at the end
56,this 1982 film which also starred james earl jones as thulsa doom was the first box office success for austrian bodybuilder arnold schwarzenegger
57,what war was taking place during the movie
58,this classic horror movie involves a young priest and an old priest removing a demon spirit from a little girl
59,this in theater experience features the equally loved and hated pop icon from canada who some say looks like ellen degeneres
60,what gangster film starring tom hanks and filmed in and around chicago is based on an acclaimed graphic novel
61,what is the movie with leonardo dicaprio that he goes into other people s dreams and tries to fix things
62,which movie that came out in 1995 features detectives following a serial killer who showcases dante s deadly sins
63,what is the 2011 stoner comedy that is the latest instalment in a series that follows john cho and kal penn as they set out on a quest to find the perfect christmas tree
64,what s that scary movie about a serial killer who returns to a small town to kill everyone born on the day he supposedly died
65,what is the sequel to the 1987 film about a stock broker seeking to restore his empire
66,i am thinking of a film about a manufacturer who initially inadvertently saves thousands of jews from certain death during the holocaust
67,what is the classic comedy about the old west that was written directed and starred mel brooks
68,what is the movie starring robert de niro about a boxer s life that was directed by martin scorsese
69,jeremy renner takes over for matt damon in the highly popular book and movie series about espionage in what movie
70,the trials and effects the civil war have on a rich southern family
71,what is the 2010 american comedy film starring jonah hill and russell brand in which brand stars as the rocker aldous snow
72,what s the teen comedy about a girl whose halloween night is ruined when her brother goes missing
73,this martin scorsese film contains the classic moment of robert deniro looking in the mirror and asking you looking at me
74,this 2011 steve carell movie is about a guy who has n t dated in awhile learning how to pick up girls
75,which 1981 american cyberpunk action film directed by john carpenter stars kurt russell as snake plissken
76,what is the 1988 movie starring bruce willis where he plays nypd officer john mcclane
77,i am thinking about a classic film starring jimmy stewart as a wholesome young man who gets involved with corrupt politicians
78,often referred to as a female companion piece to the hangover this movie stars a group of women competing to determine who is the maid of honor
79,one of the most famous glass trophy race winners in history is the star of this epic picture
80,colin firth won an academy award for best actor in this movie based on a historical drama
81,yasujiro ozu directs this spare emotionally devastating drama about a couple coming to visit their children in japan
82,i m thinking of a 1948 film that stars judy garland and fred astaire as a dancing team who drift apart and find new partners
83,have you seen that movie about a small town that is exposed to a chemical spill essentially turning them into zombies
84,what s the children s movie that features a family of four inch people living in a 14 year old boy s home
85,what is the movie where a boy and a tiger get shipwrecked and are stranded on a boat
86,what is the movie that models hamlet through a family of lions in the african sahara made by disney
87,this movie tells the true story of a soft spoken writer as he completes what many consider to be his greatest work another title for this movie might be in cold blood the name of the book the author in the movie is completing what is the name of this film
88,i am thinking of the 90 s era chase movie that blew up the careers of both keanu reeves and sandra bullock
89,what is the movie about a reindeer at the north pole who gets teased because of the color of his nose
90,what humphrey bogart film considered by many to be the best film ever made introduced us to the phrase here s looking at you kid
91,by the time of the 2006 academy awards this best documentary winner about an animal s arctic yearly migration had out grossed all 5 best picture nominees
92,what is the name of the movie based on a very famous book about sisters living in the 1800 s
93,sigourney weaver stars in this science fiction horror film directed by ridley scott that spawned sequels
94,what is the movie based off an animated bear who has friends like a pig and a tiger
95,what is the name of the 1954 movie directed by stanley donen focused on the courting of a group of females by a group of related males
96,what 2011 animated film itself a sequel starred jack black as a klumsy but lovable bear
97,this miyazaki film won an oscar for best animated feature
98,what is this 1968 horror movie that sparked the zombie craze
99,what is the movie about the bear who has friends that are a rabbit kangaroo and a tigger
100,i m thinking of a movie that involves two hitmen a boxer a gangsters wife all four of them intertwine with each other throughout various parts in the film
101,what is the movie featuring two women played by geena davis and susan sarandon who take off in a thunderbird
102,what is the name of the movie where drew barrymore and justin long have a relationship even though they live on opposite coasts
103,what s that movie about the grumpy semi bald guy that relives the same day over and over
104,what is this 1997 masterpiece directed by james cameron featuring a ship crashing into an iceberg
105,what was the 2010 movie starring leonardo dicaprio as a police officer investigating an asylum that was n t as it seemed
106,what female friendly adult comedy featured a breakout role for melissa mccarthy as a tomboy ish sexed crazed sister of the groom
107,what s the movie based on the melville novel about a monomaniacal sea captain hunting a giant white whale
108,what ang lee film was oscar nominated for best picture while winning the best foreign language film oscar
109,what is the movie starring christopher reeve as a playwright who finds a way to go into the past to find the woman he loves
110,name a coen brothers movie that involves a playwright moving to california to work for movie producers
111,i am thinking of the blockbuster 70 s film that stars sylvester stallone as a philadelphia boxer
112,a 1968 movie with hal 9000 directed by stanley kubrick and is also written by him and arthur c clarke
113,i m thinking of a 1989 movie about a close circle of friends starring shirley maclaine and olympia dukakis
114,what is the french documentary directed by jacques yves cousteau and louis malle about exploring the underwater depths of the oceans
115,what is the shakespeare movie about a black man married to a white woman that he kills
116,what chinese thriller set in the world of a hong kong triad inspired the academy award winning film the departed
117,which movie by ridley scott is about machines who have come to believe they are human
118,what is the 2011 movie starring ryan reynolds as a test pilot given an alien ring
119,what gross early 90 s horror movie was directed by lord of the rings genius peter jackson
120,what s that movie about the old guy who creates a theme park about dinosaurs that get loose
121,this 2010 movie starring robert downey jr was shipped to theaters under the code name maternity day
122,what is the name of the recent sience fiction horror film with joel edgerton as the lead male role
123,astronauts crash land on this earth like planet where humans are caged and treated like zoo animals
124,what is the name of the first movie made by john singleton in which ice cube and cuba gooding is starring
125,a girl with really really long hair gets stuck high in a tower where a lady keeps her
126,remade by william friedkin in 1977 as sorcerer this 1953 thriller depicts a group of men trying to drive truck load of explosives across dangerous terrain
127,i need the name of the shakespeare movie about the guy who says to be or not to be
128,louis armstrong was only on set for a half day and did his shots in one take in this barbra streisand musical
129,bruce willis starred in this 80 s action film about a man in the wrong place at the wrong time
130,i m thinking of a film that features a down and out actor that goes in drag for the ultimate role a leading woman on a soap opera
131,what is the 2010 childrens film based on a beloved book about two sisters growing up and dealing with each other
132,name the pixar animation film about a robot that ends up saving the human race and earth in the future
133,a cop gets stuck crawling around in a building trying to take down some terrorists
134,i am thinking of a classic film that tells the story of an alien who comes to earth with a giant metal robot his mission is to issue the people of earth an ultimatum
135,this love story movie beat saving private ryan for best picture in the late nineties
136,what is the name of the movie involving the man of steal and his great love lois
137,wes anderson directed this animated adaption of roald dahl s story featuring the voices of george clooney and meryl streep
138,what is the 2012 american war film starring chris hemsworth and directed by dan bradley
139,i m thinking of a 2010 movie starring danny trejo as an ex federale who seek revenge on the man who hired him to assassinate an important government official
140,what was the movie about a serial killer who invaded the dreams of local teenagers
141,i am thinking of a classic film starring natalie wood and rita moreno that is based on a famous broadway musical
142,movie that takes place in the city of lights starring owen wilson and a blonde girl
143,what is the musical starring barbara streisand who plays the 1920 s broadway star fanny brice
144,which film tells the story of a preteen who s life is changed after befriending the new girl at school
145,how many movies was tom hanks in by the time this movie was made to date
146,what is the 1998 movie starring jeff bridges and john goodman about the dude who is mistaken for a millionaire and seeks restitution for his ruined rug
147,jack nicholson even more crazy than usual stars in this film set in a mental institution
148,what is the movie with nicholas cage in it that he rides around on a motorcycle and gets fire on his head when he is mad i think it s based on a comic book
149,what is the movie that has a baseball coach and his assistant using reject baseball players to form a winning team
150,what is the movie with judy garland who plays dorothy and she her dog toto the tin man the cowardly lion and the scarecrow take a journey down the yellow brick road
151,what comedy film stars russell brand as an eccentric musician and jonah hill as a young assistant
152,what was the much anticipated sequel movie shot in 2011 about a bunch of guys who went to thailand and had the worst hangover of all time
153,what 2012 movie directed by oliver megaton followed up the fallout of bryan mills rescue of his kidnapped daughter
154,tell me the movie with russel crow who plays a very smart guy who has a deaf baby
155,do you know the nicholas sparks story that was turned into a film starring miley cyrus and her fiance liam hemsworth
156,what is the scorcese masterpiece that is in black and white and is about the boxer jake lamotta
157,what clive barker horror film shows how an urban legend is brought to life by saying his name into a mirror
158,i am thinking of a film that stars ben stiller as the leader of a group of employees who are cheated out of their money by a crooked businessman
159,what 1951 adventure film starred robert morley and katharine hepburn as samuel and rose saye
160,in this film cary grant plays a reporter trying to keep his ex from remarrying and moving to the country
161,a playful romantic comedy with meryl streep and tommy lee jones a sex therapist played by steve carell counsels a couple to put excitement back into their marriage
162,what s the name of that movie ron howard and george lucas made where the evil queen arrests all pregnant women
163,montgomery clift murders shelley winters because he is desperately in love with elizabeth taylor in this george stevens film
164,i m thinking of an 80 s film starring nicholas cage and holly hunter as kidnappers who steal a baby
165,dominic toretto and his crew plan a massive heist to secure their future in the latest movie of this franchise
166,what s the name of the film where a teenager in new york is changed into a monster
167,sigourney weaver had initially been very hesitant to reprise her role as ripley and had rejected numerous offers from fox studios to do any sequels fearing that her character would be poorly written and a sub par sequel could hurt the legacy of the first movie however she was so impressed by the high quality of james cameron s script she finally agreed to do the film
168,in this film starring an archeologist and adventurer who tries to find something important before the nazis get their hand son it
169,i m thinking of a movie from the mid 2000 s about stoner knights it had natalie portman as the lead female it was a comedy
170,what is the 90 s dark comedy thriller directed by the coen brothers that revolves around a murder in north dakota
171,can you give me the name of the movie that involves a man finding a drug that can change his whole future but must keep away from ruthless thugs
172,what movie documents a disfigured man who famously yells that he is not an animal
173,what is the name of the movie in which an alien lands and tells the people of earth that they must live peacefully or be destroyed as a danger to other planets
174,i need the name of the movie about the animals in the woods that came out in the 90 s that is about their lives
175,this movie starring katherine hepburn and humphrey bogart is about a missionary who convinces the drunken captain of a dilapidated steamboat to help her torpedo a german ship during world war i
176,i am thinking of a 60 s era cult classic george romero horror film about a group of people who attempt to survive a zombie holocaust
177,what s the low brow comedy about a woman who is jealous when her friend decides to get married
178,this 2003 disney movie about a fish in search of his son won several oscars including best animated feature
179,what is the movie about the peanuts gang learning the true spirit on the holiday season
180,what is that 2010 comedy film starring kristen bell and josh duhamel about two opposites that fall in love in a european country
181,it is a movie about a lawman in the wild west who brings down famous outlaws
182,what is the 1990 american horror film directed by tom savini which is a remake of george a romero s 1968 horror film of the same name
183,what movie won best picture at the 1984 academy awards
184,director milos foreman and actor f murray abraham won oscars for what film
185,jack nicholson and louise fletcher won oscars for their starring roles in this 1975 drama
186,what is the movie starring kurt russell about a group of scientists in the arctic that get attacked by a creature that can mimic any living thing
187,what is the movie starring bruce willis as a new york cop who squares off against alan rickman
188,when two kids play an old magic board game they found they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game is the plot of this 1995 comedy adventure starring robin williams
189,i am thinking of a movie that stars david naughton as a young man from the u s who gets bitten by a mythical beast as he backpacks abroad
190,the 3 rd movie in the beloved series of movies based off the best selling books by british author j k rowling
191,what 2012 ang lee film based on the best selling book of the same name is about a boy and a tiger
192,what is the movie starring brad pitt and anthony hopkins about three brothers and their father living in the remote wilderness in the 1900 s
193,i m thinking of a movie where a book comes to life for a young boy and he is transported into the story and has to save a princess
194,what s the nature documentary about an animal that gets separated from its family and then gets adopted
195,transplanted to mars a civil war vet discovers a lush planet inhabited by 12 foot tall barbarians is the plot of this 2012 action adventure movie
196,what low rated film spoofs off teen flicks that star sparkling heart throbs and werewolves
197,what is the 1970 robert altman war movie which led to a very successful television series of the same name
198,what is the movie about a space ship with a recent year in its name
199,i am thinking of a film that stars queen latifah and dolly parton as leaders of a church choir
200,what is the tyler perry movie where that big black woman has to be exported to protect herself
201,surely you must know the 1980 comedy directed by the zucker brothers and jim abrahams
202,even if this movie s title is lacking the phrase of mars it was inspired by an edgar rice burroughs short story
203,goldie hawn bette midler and diane keaton star in this 1996 about divorce and revenge
204,what is the movie based on a comic strip that is about a large great dane
205,in what movie does a boy have to fight his future girlfriend s crazy and villianous ex boyfriends in order to be with her
206,what is the name of that war movie directed by steven spielberg where tom hanks plays a soldier looking for his brother played by matt damon
207,i m thinking of the movie directed by clint eastwood featuring sean penn and tim robins about man who will stop at nothing to catch his daughter s killer
208,i am thinking of the third installment in the disney pixar film franchise that continues the intertwined stories of andy woody buzz and the gang
209,what is that jackie chan movie where he s an ex cia agent who has to babysit his girlfriend s children
210,what s the name of movie where eddie murphy plays a doctor that can talk to animals
211,what is the name of the second movie of george lucas original trilogy of this science fiction series
212,i m thinking of the 1984 mockumentary that follows the world s loudest band on a world tour
213,chris evans is ready to sock ol adolf on the jaw in what 2011 marvel film
214,what is the name of that animated kids movie about all those spotted dogs running around
215,this classic film starring james stewart is about a senator with a strong sense of justice who clashes with the washington system
216,what is the black and white movie where humphrey bogart and ingrid bergman reunite in africa after a romantic interlude in paris
217,i m thinking of a judd apatow directed movie starring paul rudd which is a sequel to the movie knocked up
218,what is the 2010 movie starring robert downey jr and zach galifianakis about a soon to be father having to hitch a ride with an aspiring actor in order to make it to the birth of his child
219,what is the name of the documentary of the nuremberg rally filmed by leni riefenstahl
220,what 1940 s musical was first adapted to film in the 1950 s after over 2 000 successful performances
221,what violent david fincer film starred brad pitt and edward norton as a mysterious pair
222,nicholas cage and holly hunter play an infertile couple who decide to kidnap a baby in this coen brothers movie
223,andrew garfield stars as our web slinging comic book hero in this 2012 action adventure
224,which movie features a fedora wearing professor on a quest to save the world from a group of nazis
225,what is the name of this black and white movie by steven spielberg about the holocaust
226,which film stars a very young mel gibson as mad max in a post apocalyptic world
227,what s the lumet movie where al pacino plays a new york cop who is one of the few cops who are not corrupt
228,what is the scorsese directed movie where an orphan lives in a train station
229,what is the name of the animated disney film that came out in 2012 that involves video games
230,what is the movie in which marlon brando won a best actor oscar for talking about being a contender
231,the premise of the movie is a mermaid princess makes a faustian bargain with a mean seahag in order to meet a human prince on land
232,an epic tale about how arnold rises up to avenge his parents
233,what s that roman polanski movie from the 70 s with jack nicholson that won many awards
234,what is this x rated animated film that is based on the character created by robert crumb
235,robert redford starred in both the broadway play and this film version of this neil simon romantic comedy
236,what s the outrageous movie about a us president who must save the world from vampires
237,this fantasy film starring owen wilson garnered a nomination for best direcor for woody allen at the 2001 oscars
238,what s the name of the movie where the middle aged high school baseball coach tries out and gets to play on major league baseball team
239,this 1937 war movie directed by jean renoir is frequently considered to be one of the greatest films of all time
240,what is the name of the movie that s a collection of music done live by a cast of a tv show based around a club that sings
241,what is the indiana jones film often considered the best of the series in which harrison ford seeks to track down and recover a legendary biblical icon
242,name the 1984 film adaptation of bernard malamud 1952 novel about baseball of the same name starring robert redford
243,what is the movie about a young woman that eats a poisoned apple given to her by an evil witch because the mirror says she s the fairest of them all
244,character benedict slade receives a visit from 3 spirits in this spin on a christmas classic
245,in what movie does channing tatum plays an undercover cop who goes undercover in a high school
246,what roman polanski directed film set in wwii features adrien brody as a musician from the warsaw ghetto
247,i am thinking of a classic love story that stars barbra streisand and robert redford
248,what musical movie came out in 2012 that has an all star cast including whitney houston and jordin sparks
249,i need the name of the movie of a steinbeck novel set in the great depression
250,what 2012 movie had kate beckinsale returning to the role of selene for a fourth time
251,at the close of wwii a young nurse tends to a badly burned plane crash victim is the plot of this 1996 romantic war drama that won 9 oscars
252,i am thinking of a movie now considered a classic by many about a shark based on a peter benchley book
253,what is the name of the second in its series fantasy movie based on a classic book by tolkien
254,the story of a forbidden and secretive relationship between two cowboys and their lives over the years
255,this movie was a huge box office hit and inspired many blue halloween costumes in 2009 the year it was released
256,what is the movie about a family who records strange things happening in their home at night
257,this 2003 movie was the only fantasy movie ever to win the oscar for best picture
258,what is the name of the 1942 errol flynn movie in which he portrays a real life boxing champion
259,which 1971 ultra violent crime film written directed and produced by stanley kubrick is adapted from anthony burgess 1962 novella of the same name
260,what movie stars richard dreyfuss who sees strange lights in the sky and is compelled to go to devil s tower in wyoming
261,i am thinking of the classic george lucas space opera that is first in the series and tells the tales luke skywalker and princess leia
262,what s the horror film that has the bad guy who goes after kids in their dreams
263,what is the movie that recreates the image of one of our greatest president into that of a abolisher of bloodsucking monsters
264,in what 1990 s movie do the bus drivers need to stay above 50 mph to keep the bus from exploding
265,what stephen king story features a man who was wrongfully imprisoned yet patiently awaits his chance to escape
266,what is the name of that sci fi movie starring drew barrymore as a little girl
267,what is the 1982 epic film starring ben kingsley as the famous indian lawyer activist and pacifist
268,this movie stars marlon brando and where an ex prize fighter turned longshoreman struggles to stand up to his corrupt union bosses
269,an unemployed actor with a reputation for being difficult disguises himself as a woman to get a role in this dustin hoffman comedy
270,i m thinking of a romantic comedy in which a woman who s sick of being single makes a wish in a fountain while in rome for her sister s wedding
271,what is the movie that has the man of steel in it and he comes from another planet
272,the story of a reindeer that is not accepted by his peers but he saves the day for santa clause
273,what 2012 movie directed by anthony hemingway featured terrence howard and cuba gooding jr as military personnel
274,what is the disney film about a girl who is turned into a frog by a magical spell
275,what is the name of the movie in which marion crane takes a room at the bates motel
276,what was that russell crowe movie about the mathematician that had mental issues and in one scene describes some group theory about ignoring some blonde
277,what famous movie stars robert redford and paul newman as con men who attempt to settle the score with a mob boss
278,what marlon brando movie from the 50 s takes place during world war two and documents three lives
279,i am thinking of a controversial but well received movie involving american cowboys and homosexuality
280,what is the name of this john wayne movie about four sons avenging the death of their father and honoring the memory of their mother
281,a coen brothers cult classic starring john goodman and jeff bridges as the dude who find themselves on the wrong side of a kidnapping
282,what is the classic kurosawa film in which each character relays a story to an independent listener and the audience showing that there are often multiple versions of the truth
283,what is the 2012 movie where adam sandler plays a father who got his school teacher pregnant in the past as a young boy
284,i m thinking of a sci fi movie starring harrison ford which is about a man who tracks down and kills human clones
285,this movie was remade from a cheesy 80 s movie with titans and an owl made of metal
286,this is a pixar animation studios film that came out in 2008 that stars a robot
287,what s the name of the movie sequel that is a humorous postmodern take on the horror genre
288,the neighboring gardens of montague and capulet are at war in this 2011 family animation
289,what is the beatles film which is about the band preparing for a television appearance
290,this famous slasher film featured a killer wearing a mask based upon william shatner s likeness
291,what is the 1979 movie by steven spielberg that features the line i love the smell of napalm in the morning and stars martin sheen and marlon brando
292,a bright computer animated 2012 film with an all star cast including danny devito zac efron and taylor swift depicting the inhabitants of thneedville
293,what is the name of wes craven s 1984 classic horror film
294,i m thinking of a movie that was made in 1984 and remade in 2012 in which the plot features a group of american teenagers defending their town against foreign invaders
295,what is the 1994 movie directed by quentin tarantino that stars john travolta and uma thurman in stories about hitman bandits a boxer and a gangster s wife
296,what s the name of that movie with cher in it and it was set in a women s prison
297,what was the name of the movie based on a novel starring tommy lee jones javier bardem
298,this is a 1975 film directed by steven spielberg about a shark that also stars roy scheider
299,what is that 2010 horror film that is about seven connected children who are stalked by a serial killer
300,i m thinking of the 1998 animated movie depicting a totalitarian society starring a neurotic bug
301,i m thinking of a film that features an adventurous archaeologist who searches egypt for an ancient biblical relic
302,what is that 1993 film starring sylvester stallone as a mountain climber and has john lithgow in the role of a villain
303,what is the title of this film about a boy wizard and his friends that look to destroy magic charms that contain the soul of a dark magician
304,what is the film where julia roberts stars alongside power actresses sally field olympia dukakis and shirley macclaine
305,what is the 2010 movie re make starring jeff bridges about a u s marshall helping a girl track down her father s killer
306,what animated comedy film from 2010 starred steve carrell as a super villain who adopts three girls
307,edward g robinson became a big star after portraying rico bandello in this 1931 picture
308,i m thinking of a romantic comedy with emma stone and ryan gosling and steve carell
309,what s the movie an oscar winner about a world leader who has an embarrassing impediment
310,what is the full title of the recent fantasy horror movie about a u s president
311,in which 1957 film does a war hardened general egged on by his ambitious wife works to fulfill a prophecy that he would become lord of spider s web castle
312,what s the weird indie film about a screenwriter who comes down with a bad case of writer s block and may or may not be living next to a serial killer
313,what s the name of the political thriller starring matt damon that takes place during the iraq war
314,what is the 1993 war drama film directed and co produced by steven spielberg and starring liam neeson as the main character
315,what is the movie about a man claiming to be santa clause gets institutionalized and is represented by a young man in court
316,a 2010 comedy farce involving dopey teens and the characters of the young adult phenomena twilight
317,this film is a remake of a john wayne classic and features the bounty hunter character rooster cogburn
318,what movie tells the story of three men are reunited by circumstance when one loses a daughter after living with a childhood tragedy that overshadowed their lives
319,what s the deniro movie where he plays a guy in new york city who looses his grip on reality
320,paul newman plays a hockey coach player that has to control the antics of three out of control brothers
321,what s the disney classic about a carpenter s creation coming to life and getting into adventures
322,which film is about two british track athletes one a determined jew and the other a devout christian competing in the 1924 olympics
323,i am thinking of the 2011 film in which a chameleon accidentally winds up in the town of dirt
324,steve mcqueen stars in this pete yates directed 1968 classic american fast paced thriller movie
325,i am thinking of the movies starring ben stiller an robert deniro where robert deniro is the grandfather of ben stiller s children
326,what is a movie starring leonardo dicaprio written by shakespere
327,a girl pretends to be a slut in high school in order to gain popularity
328,kevin bacon butts heads with john lithgow in this 1984 movie about a town that does not allow teenagers to listen to rock and roll
329,what updated animated fairy tale is set in new orleans and features a reptile s only chance at being human again
330,zach snyder directs what 2010 animated feature involving armor clad owls that battle each other
331,what movie was based in new orleans and starred vivien leigh and a young marlon brando who played stanley
332,the lives of guards on death row are affected by one of their charges a black man accused of murder and rape but he has a mysterious gift
333,this pixar movie has unusual lead characters of an old man and a boy scout who go on an adventure in a floating house
334,i am thinking of the classic film about a the life of a newspaper man and his paper this film is sometimes touted as the greatest film ever made
335,what is the name of that animated movie where the monster falls in love with the girl and turns back into a human again called
336,what is the 1975 movie about a psychosomatically deaf dumb and blind boy becomes a master pinball
337,what is the 1961 film about a pool player that takes on a long time champion
338,this movie is about a female boxer and is said to be a real tear jerker
339,i am thinking of a film about a depression era lawyer and his defense of a black man against an undeserved rape charge
340,what is the movie that ends with a final showdown on the face of mount rushmore
341,what is the movie where a gangster gets his dog kidnapped by a group of men
342,a deaf dumb and blind boy overcomes all and becomes a master pinball player captured by director ken russell
343,which 1986 american mystery film centers on eccentric college student who returning from visiting his ill father in the hospital comes across a human ear in a field in his hometown of lumberton
344,what is the documentary directed by lucy walker that depicts the life of garbage pickers
345,what 1968 movie directed by franco zeffirelli features the story of two star crossed lovers whose families tear them apart
346,what is that 2010 american 3 d computer animated fantasy film by dreamworks animation based on the english 2003 book of the same name and directed by chris sanders and dean deblois
347,this is a 2012 movie directed by ridley scott with an association with the alien franchise
348,which movie was the 1931 vampire horror film directed by tod browning and starring bela lugosi as the title character
349,what is the movie about a talking pig on a farm
350,what is the animated movie that has a a boy being bullied is misunderstood
351,what is the movie that stars will ferrel and mark walhberg as a pair of goofy cops that have a chance to become the city top cops and make a mess of it
352,what is the 1990 movie starring johnny depp as a gentle boy who falls in love with winona ryder
353,tim burton directed this animated cult favorite about jack skellington s misguided attempt to transform halloweentown into something quite different
354,what farrelly brothers film an update of a very early television program concerns three clumsy brothers
355,what george lucas 1977 space adventure film is the 6 th highest grossing film of all time
356,which 2010 animated movie featured a young viking who while domesticating a mythical creature learned to appreciate the once fearsome beast
357,i am thinking about the classic christmas film that stars jimmy stewart as a man who ponders the question of his life
358,what is the movie where slyvester stallone plays an aspiring boxer who tries to win the heavyweight title
359,what movie has natalie wood and warren beatty as two teenagers who fall in love during their youth
360,what 1968 movie directed by stanley kubrick featured an intelligent computer named h a l 9000 on a journey in space
361,what was the movie starring bruce willis and samuel l jackson where bruce willis plays a man who discovers he is a superhero
362,what style of animation is this film
363,the beginning of two different organizations for supermutants
364,what s that steven speilberg movie about a giant shark that kills people off the coast of connecticut
365,humphrey bogart and william holden vied for the affections of audrey hepburn in what 1954 billy wilder film
366,this film by the mexican director alfonso cuar n was the third installment of a popular series about a wizard
367,i am thinking of a modern classic mob film that tells the story of the life of henry hill before he entered the witness protection program
368,what s the name of the movie where the title characters are a very old woman and a neurotic teenage boy who falls in love with her
369,a man with a unfulfilling and depressing lifestyle finds solace in starting fights in an underground group
370,which of these is a foreign language film that won many awards and takes place in the slums of brazil
371,what 1993 film was adapted from a book written by michael crichton in 1990
372,a masked killer is out for blood on the most horrifying night of the year
373,what was the name of the 2010 movie that was based on a fantasy novel written my c s lewis
374,what is that movie starring kristen wiig which is a parody of the famous tv classic macguyver
375,name a film made by federico fellini that starred marcello mastroianni and anita ekberg
376,what is the 2001 american biographical drama film based on the life of john nash a brilliant mathematician portrayed by russell crowe
377,what is the title of this film starring liam neeson that involves wolves oil rig workers and an alaskan setting
378,what film based on the true story of the black september aftermath is about the five men chosen to eliminate the ones responsible for that fateful day
379,what is this 1939 film starring judy garland about her travels on the yellow brick road
380,this was the first animated blockbuster created entirely on computers it spawned two sequels and made pixar a household name
